operation_date;balance
1696143038039;2817.5647728749195
1696143172802;2915.5639162450484
1696143173998;2919.56562950479
1696143184137;2819.56562950479
1696143641372;2719.56562950479
1696145312111;2820.61037334183
1696147229425;2720.61037334183
1696148811956;2821.637067352773
1696150786025;2922.640189868749
1696150796128;2822.640189868749
1696150835283;2722.640189868749
1696150853935;2820.614531701506
1696151757200;2918.587627446688
1696151786038;2818.587627446688
1696152403201;2919.608456092099
1696152412515;2819.608456092099
1696152457943;2921.159852916588
1696152721521;3019.123405652334
1696152761903;2919.123405652334
1696152821160;3015.084107257452
1696152885528;3116.1108917929496
1696152895620;3016.1108917929496
1696153780386;3112.108986487061
1696153787733;3213.6452990001144
1696153797893;3113.6452990001144
1696153855009;3211.611333524257
1696153862227;3111.611333524257
1696153921970;3212.6684200367035
1696153964240;3112.6684200367035
1696154546901;3209.612472334334
1696154559057;3307.273507283458
1696154560308;3311.232844532856
1696154568805;3211.232844532856
1696154569735;3111.232844532856
1696154578541;3011.232844532856
1696154618442;3109.100979881965
1696154618833;3108.1651102058813
1696154636412;3008.1651102058813
1696154678619;3109.7728311026813
1696154688039;3009.7728311026813
1696154736137;3107.7489341200235
1696154742818;3110.83949993101
1696154805182;3208.782504016576
1696154806260;3201.860469232472
1696154808700;3299.224473972025
1696154812732;3291.3100045427404
1696154812968;3299.117410581674
1696154813113;3302.8790224596582
1696154813236;3291.9242788359247
1696154813686;3298.4039745028954
1696154814670;3198.4039745028954
1696154815862;3098.4039745028954
1696154822345;2998.4039745028954
1696154826432;3193.8482674505453
1696154831070;3093.8482674505453
1696154839514;3101.810703679536
1696154870495;3001.810703679536
1696154922086;2901.810703679536
1696154926242;2801.810703679536
1696155325437;2701.810703679536
1696156220526;2601.810703679536
1696156368751;2703.3284851085286
1696156811390;2603.3284851085286
1696158028611;2503.3284851085286
1696158043412;2403.3284851085286
1696158055848;2704.357756834094
1696158056821;2604.357756834094
1696158084579;2504.357756834094
1696158611880;2404.357756834094
1696160706455;2304.357756834094
1696160978508;2405.36068582124
1696161032489;2305.36068582124
1696161603928;2205.36068582124
1696161610499;2105.36068582124
1696161621124;2005.36068582124
1696161647680;1905.36068582124
1696161650449;1805.36068582124
1696161693179;1705.36068582124
1696161934175;1605.36068582124
1696162232835;1505.36068582124
1696162470910;1405.36068582124
1696163305466;1305.36068582124
1696163614155;1403.22214176095
1696163627118;1303.22214176095
1696164443746;1401.2034553769874
1696164880855;1502.204534198706
1696165208196;1402.204534198706
1696165515621;1302.204534198706
