symbol;interval;estimator;stop_loss;times_regression_profit_and_loss;features;final_value
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p'];221.63759761611306
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_24p', 'ema_200p'];221.8225734507771
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi'];221.88241997237236
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_24p'];222.8680074593971
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume'];222.94214177817832
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume'];223.19725554714054
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_200p'];223.23774629249507
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'rsi'];223.82455748486353
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p'];224.99047343672763
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'rsi', 'ema_24p', 'ema_200p'];227.05512152922395
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_24p', 'ema_200p'];227.75582023614288
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];228.61332561700726
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'rsi'];230.42556026307452
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_200p'];231.8507799504863
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'rsi'];232.63476188473797
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p', 'ema_200p'];232.65143560387017
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_base_asset_volume', 'ema_24p'];233.60640185223863
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'taker_buy_quote_asset_volume', 'rsi', 'ema_24p'];234.08554209156998
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_200p'];236.27921737778047
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'ema_24p', 'ema_200p'];238.61524239920587
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'ema_24p', 'ema_200p'];239.1907953342174
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades', 'taker_buy_base_asset_volume', 'taker_buy_quote_asset_volume', 'ema_200p'];239.27802715980988
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'quote_asset_volume', 'number_of_trades'];239.4795914458977
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_quote_asset_volume', 'rsi', 'ema_200p'];240.20862061464177
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'number_of_trades', 'taker_buy_quote_asset_volume', 'ema_24p', 'ema_200p'];241.36616775821938
BTCUSDT;1h;knn;1.0;24;['open_time', 'status', 'volume', 'taker_buy_base_asset_volume', 'ema_200p'];241.60511782605306
